¿Quién 'sabía que no sabía nada'?,Sócrates
¿Qué es un 'ewok'?,Un ser de 'La guerra de las Galaxias'
¿En qué lugar del cuerpo se produce la insulina?,En el páncreas
¿De qué estilo arquitectónico es la Catedral de Notre Dame en París?,Gótico
¿Con qué se fabricaba el pergamino?,Con piel de animales
¿Qué es un dáctilo? ,Un pie de métrica
¿Quién fue famoso esposo de Frida Kahlo?,Diego Rivera
¿Qué atleta se hizo famoso por utilizar una nueva técnica en atletismo?,Dick Fosbury
¿Qué país no tiene al euro como moneda?,Suiza
¿Qué instrumento está expresamente 'bien afinado' en ciertas obras de Bach?,El clave
¿Cuál es el grupo mayoritario dentro del islam?,Suníes S
